AbTesting,Beaker24Regular
ChartHistogram,ChartPerson24Regular
ChartMultiline,ChartMultiple24Regular
ChartLineStacked,ChartMultiple24Regular
ChartLine,LineRegular
ChartGantt,null
ChartLineVariant,Line24Regular
ChartDonut,null
ChartBoxPlusOutline,null
ChartDonutVariant,null
ChartBubble,DataScatter24Regular
ChartPpf,DataScatter24Regular
ChartMultiple,ChartMultiple24Regular
ChartScatterPlotHexbin,null
ChartSankeyVariant,null
ChartTimelineVariant,ChartMultiple24Regular
ChartTimeline,ArrowTrendingLines24Regular
ChartSankey,null
ChartScatterPlot,null
ChartPie,null
ChartPieOutline,null
ChatMinus,ChatDismiss24Regular
ChartTree,null
ChatPlus,ChatAdd24Regular
ChatOutline,Chat24Regular
ChatMinusOutline,ChatDismiss24Regular
ChartWaterfall,null
ChatAlertOutline,CommentError24Regular
ChartTimelineVariantShimmer,null
ChatAlert,ChatWarning24Regular
Chat,Chat24Regular
Check,Checkmark24Regular
ChatRemove,ChatDismiss24Regular
ChatPlusOutline,ChatAdd24Regular
ChatProcessing,ChatBubblesQuestion24Regular
ChatProcessingOutline,ChatSparkle24Regular
ChatRemoveOutline,ChatDismiss24Regular
ChatQuestion,ChatHelp24Regular
ChatSleepOutline,Sleep24Regular
ChatSleep,ChatOff24Regular
ChatQuestionOutline,null
CheckOutline,Checkmark24Regular
CheckDecagram,CheckmarkStarburst24Regular
CheckNetwork,NetworkCheck24Regular
CheckBold,Checkmark24Regular
CheckNetworkOutline,NetworkCheck24Regular
CheckCircle,CheckmarkCircle24Regular
CheckAll,CheckboxChecked24Regular
CheckUnderline,null
CheckCircleOutline,null
CheckDecagramOutline,null
CheckboxBlank,CheckboxUnchecked24Regular
CheckUnderlineCircle,CheckmarkUnderlineCircle24Regular
CheckbookArrowRight,ArrowExport24Regular
CheckboxBlankCircleOutline,CheckboxUnchecked24Regular
Checkbook,null
CheckUnderlineCircleOutline,CheckmarkCircle24Regular
CheckboxBlankCircle,Circle24Regular
CheckboxBlankBadgeOutline,null
CheckboxBlankBadge,null
CheckbookArrowLeft,ArrowExportLtrRegular
CheckboxIntermediate,CheckboxIndeterminate24Regular
CheckboxBlankOffOutline,CheckboxUnchecked24Regular
CheckboxMarkedCircle,CheckboxChecked24Regular
CheckboxBlankOff,null
CheckboxMarkedCircleMinusOutline,CheckboxUnchecked24Regular
CheckboxIntermediateVariant,CheckboxIndeterminate24Regular
CheckboxMarkedCircleOutline,CheckboxChecked24Regular
CheckboxMarked,CheckboxChecked24Regular
CheckboxBlankOutline,CheckboxUnchecked24Regular
CheckboxMarkedCircleAutoOutline,CheckboxChecked24Regular
CheckboxMarkedOutline,CheckboxChecked24Regular
CheckboxMarkedCirclePlusOutline,CheckboxChecked24Regular
CheckboxMultipleMarkedCircle,CheckboxChecked24Regular
CheckboxMultipleBlankOutline,CheckboxChecked24Regular
CheckboxMultipleMarkedOutline,CheckboxChecked24Regular
CheckboxMultipleMarkedCircleOutline,CheckboxChecked24Regular
CheckboxMultipleBlank,null
CheckboxMultipleBlankCircleOutline,CheckboxChecked24Regular
CheckboxMultipleBlankCircle,null
CheckboxMultipleMarked,CheckboxChecked24Regular
Checkerboard,Grid24Regular
CheeseOff,null
CheckboxOutline,CheckboxUnchecked24Regular
CheckerboardPlus,null
ChemicalWeapon,null
Cheese,null
CheckerboardRemove,null
CheckerboardMinus,null
ChefHat,null
CheckboxMultipleOutline,null
ChessRook,Chess24Regular
ChessPawn,Chess24Regular
ChessKnight,null
ChessKing,null
ChessBishop,Games24Regular
ChessQueen,null
ChevronDoubleLeft,ChevronLeft24Regular
ChevronDoubleUp,ArrowUpExclamation24Regular
ChevronDoubleRight,null
ChevronDoubleDown,null
ChevronDown,ChevronDown24Regular
ChevronLeft,ChevronLeft24Regular
ChevronLeftCircleOutline,ChevronCircleLeft24Regular
ChevronDownBox,ChevronDoubleDownRegular
ChevronLeftBoxOutline,null
ChevronDownBoxOutline,CaretDown24Regular
ChevronLeftBox,ChevronLeft24Regular
ChevronDownCircleOutline,ChevronCircleDown24Regular
ChevronLeftCircle,ChevronCircleLeft24Regular
ChevronDownCircle,null
ChevronRight,ChevronRight24Regular
ChevronUp,ChevronUp24Regular
ChevronRightCircle,ArrowCircleRight24Regular
ChevronTripleRight,ChevronRight24Regular
ChevronTripleUp,null
ChevronTripleLeft,ChevronLeftRegular
ChevronRightCircleOutline,null
ChevronRightBox,ChevronRight24Regular
ChevronTripleDown,null
ChevronRightBoxOutline,ChevronRightRegular
ChiliMedium,null
ChiliMediumOutline,null
ChevronUpCircle,ChevronCircleUp24Regular
ChevronUpCircleOutline,ChevronCircleUp24Regular
ChiliAlertOutline,null
ChiliHotOutline,null
ChiliAlert,null
ChevronUpBox,ChevronCircleUp24Regular
ChiliHot,null
ChevronUpBoxOutline,BoxArrowUp24Regular
ChiliMild,null
Circle,Circle24Regular
ChiliMildOutline,null
CigarOff,null
ChiliOff,null
Chip,null
Cigar,null
Church,null
ChurchOutline,BuildingBank24Regular
ChiliOffOutline,null
CircleHalf,Circle24Filled
CircleMedium,Circle24Filled
CircleBox,Box24Regular
CircleDouble,null
CircleMultipleOutline,null
CircleHalfFull,Circle24Filled
CircleExpand,ArrowExpandRegular
CircleBoxOutline,CheckboxUnchecked24Regular
CircleEditOutline,null
CircleMultiple,null
CircleOffOutline,null
CircleOutline,Circle24Regular
CircleOpacity,Circle24Regular
CircleSlice5,Circle24Regular
CircleSlice1,Document24Regular
CircleSlice6,null
CircleSlice2,null
CircleSlice7,null
CircleSlice4,null
CircleSlice3,null
CircleSmall,Circle24Regular
Clipboard,Clipboard24Regular
CityVariantOutline,City24Regular
CityVariant,City24Regular
City,City24Regular
CircularSaw,null
CitySwitch,City24Regular
ClipboardAccountOutline,null
ClipboardAccount,null
CircleSlice8,null
ClipboardAlert,Clipboard24Regular
ClipboardAlertOutline,ClipboardError24Regular
ClipboardArrowDown,ClipboardPaste24Regular
ClipboardArrowRightOutline,ClipboardArrowRight24Regular
ClipboardArrowRight,ClipboardArrowRightRegular
ClipboardArrowLeft,ClipboardPasteRegular
ClipboardArrowLeftOutline,ClipboardPaste24Regular
ClipboardArrowDownOutline,ClipboardPaste24Regular
ClipboardArrowUpOutline,ClipboardPaste24Regular
ClipboardArrowUp,null
ClipboardEdit,ClipboardTextEdit24Regular
ClipboardFileOutline,ClipboardRegular
ClipboardCheckMultipleOutline,ClipboardTaskListLtr24Regular
ClipboardEditOutline,ClipboardEditRegular
ClipboardClock,ClipboardPaste24Regular
ClipboardFile,ClipboardTextLtr24Regular
ClipboardClockOutline,ClipboardPaste24Regular
ClipboardCheckOutline,null
ClipboardCheckMultiple,null
ClipboardCheck,null
ClipboardFlowOutline,ClipboardPaste24Regular
ClipboardFlow,ClipboardPasteRegular
ClipboardOffOutline,null
ClipboardMinus,ClipboardTextEditRegular
ClipboardList,Clipboard24Regular
ClipboardMinusOutline,Clipboard20Regular
ClipboardOff,null
ClipboardMultipleOutline,null
ClipboardListOutline,Clipboard24Regular
ClipboardMultiple,Clipboard24Regular
ClipboardPulse,ClipboardPulse24Regular
ClipboardOutline,Clipboard24Regular
ClipboardPulseOutline,PulseSquareRegular
ClipboardPlus,ClipboardPaste24Regular
ClipboardPlusOutline,ClipboardPaste24Regular
ClipboardPlay,ClipboardPaste24Regular
ClipboardPlayMultipleOutline,null
ClipboardPlayOutline,ClipboardPaste24Regular
ClipboardPlayMultiple,null
ClipboardRemove,null
ClipboardSearch,ClipboardSearch24Regular
ClipboardSearchOutline,ClipboardSearch24Regular
ClipboardTextClock,ClipboardPaste24Regular
ClipboardTextMultipleOutline,ClipboardPaste24Regular
ClipboardTextMultiple,DocumentMultipleRegular
ClipboardTextOff,null
ClipboardTextOffOutline,null
ClipboardTextClockOutline,null
ClipboardRemoveOutline,ClipboardPasteRegular
ClipboardText,Clipboard24Regular
ClipboardTextSearch,ClipboardSearch24Regular
ClipboardTextPlayOutline,ClipboardTextLtr24Regular
ClipboardTextSearchOutline,ClipboardSearch24Regular
Clock,Clock24Regular
ClipboardTextOutline,ClipboardRegular
ClockAlert,ClockWarning24Regular
Clippy,null
ClockCheck,Clock24Regular
ClockAlertOutline,ClockWarning24Regular
ClipboardTextPlay,Copy24Regular
ClockDigital,Clock24Regular
ClockEnd,Clock24Regular
ClockIn,Clock24Regular
ClockMinusOutline,Clock24Regular
ClockOut,ClockDismiss24Regular
ClockFast,Timer24Regular
ClockEdit,Edit24Regular
ClockCheckOutline,null
ClockMinus,null
ClockEditOutline,null
ClockOutline,Clock24Regular
ClockStart,Timer24Regular
ClockTimeEight,Clock24Regular
ClockRemove,ClockDismiss24Regular
ClockTimeEightOutline,Clock24Regular
ClockRemoveOutline,ClockDismiss24Regular
ClockPlusOutline,Clock24Regular
ClockStarFourPointsOutline,null
ClockPlus,Clock24Regular
ClockStarFourPoints,null
ClockTimeFour,Clock24Regular
ClockTimeNine,Clock12Regular
ClockTimeOneOutline,Clock20Regular
ClockTimeFourOutline,Clock48Regular
ClockTimeFiveOutline,null
ClockTimeEleven,Clock24Regular
ClockTimeNineOutline,Clock24Regular
ClockTimeElevenOutline,Clock24Regular
ClockTimeFive,Clock24Regular
ClockTimeOne,Clock24Regular
ClockTimeThree,Clock24Regular
ClockTimeTwelve,Clock12Regular
ClockTimeThreeOutline,Clock24Regular
ClockTimeSeven,Clock24Regular
ClockTimeTwelveOutline,Clock24Regular
ClockTimeSevenOutline,Clock24Regular
ClockTimeTen,Clock24Regular
ClockTimeTenOutline,Clock24Regular
ClockTimeSixOutline,null
ClockTimeSix,null
CloseBoxOutline,DismissSquare24Regular
ClockTimeTwo,Clock24Regular
Close,Dismiss24Regular
ClockTimeTwoOutline,Clock24Regular
CloseCircle,DismissCircle24Regular
CloseBox,Dismiss24Regular
CloseBoxMultipleOutline,CheckboxUnchecked24Regular
CloseBoxMultiple,null
CloseCircleMultiple,null
CloseCircleMultipleOutline,null
CloseOctagon,Dismiss24Regular
CloseThick,Dismiss24Regular
CloseOctagonOutline,Dismiss24Regular
Cloud,Cloud24Regular
CloseOutline,Dismiss24Regular
ClosedCaption,ClosedCaptionRegular
CloseCircleOutline,DismissCircle24Regular
CloseNetworkOutline,Dismiss24Regular
ClosedCaptionOutline,ClosedCaption24Regular
CloseNetwork,Dismiss24Regular
CloudArrowRightOutline,CloudArrowUpRegular
CloudArrowLeft,CloudArrowDown24Regular
CloudArrowDown,CloudArrowDown24Regular
CloudArrowUp,CloudArrowUp24Regular
CloudArrowUpOutline,CloudArrowUp24Regular
CloudArrowLeftOutline,CloudArrowDown24Regular
CloudArrowDownOutline,CloudArrowDownRegular
CloudAlertOutline,CloudError24Regular
CloudArrowRight,CloudArrowUp24Regular
CloudAlert,CloudError24Regular
CloudCancel,CloudDismiss24Regular
CloudCancelOutline,CloudDismiss24Regular
CloudClock,CloudSync24Regular
CloudBraces,CloudEdit24Regular
CloudCheck,CloudCheckmark24Regular
CloudCheckOutline,CloudCheckmark24Regular
CloudCircleOutline,Cloud24Regular
CloudCircle,null
CloudCheckVariant,null
CloudCheckVariantOutline,null
CloudClockOutline,CloudSync24Regular
CloudLockOpen,Cloud24Regular
CloudDownloadOutline,CloudArrowDown24Regular
CloudDownload,CloudArrowDown24Regular
CloudCogOutline,null
CloudLockOpenOutline,null
CloudKey,null
CloudCog,null
CloudLock,null
CloudKeyOutline,null
CloudPercentOutline,Cloud24Regular
CloudOff,CloudOff24Regular
CloudMinus,CloudOff24Regular
CloudOutline,Cloud24Regular
CloudPlus,CloudAdd24Regular
CloudOffOutline,CloudOff24Regular
CloudPlusOutline,CloudAdd24Regular
CloudMinusOutline,CloudDismiss24Regular
CloudPercent,null
CloudLockOutline,null
CloudRefreshOutline,CloudSync24Regular
CloudRefreshVariant,CloudSync24Regular
CloudRefreshVariantOutline,CloudSync24Regular
CloudRemoveOutline,CloudDismiss24Regular
CloudPrintOutline,Print24Regular
CloudRefresh,CloudSync24Regular
CloudPrint,null
CloudQuestionOutline,null
CloudQuestion,null
CloudRemove,CloudDismiss24Regular
Clover,null
Clouds,Cloud24Regular
CloudSyncOutline,CloudSync24Regular
CloverOutline,Clover24Regular
CloudSync,CloudSync24Regular
CloudUpload,CloudArrowUpRegular
CloudTags,Tag24Regular
CloudUploadOutline,CloudArrowUpRegular
CloudSearch,null
CloudSearchOutline,null
CoachLamp,Lightbulb24Regular
CodeBraces,Code24Regular
CoatRack,null
CodeBlockTags,Code24Regular
CoachLampVariant,Lightbulb24Regular
CodeBlockBraces,CodeBlock24Regular
CodeArray,Code24Regular
CodeBracesBox,CodeBlock20Regular
CodeBlockParentheses,CodeBlock24Regular
CodeBlockBrackets,CodeBlock24Regular
CodeLessThan,Code24Regular
CodeEqual,Code24Regular
CodeLessThanOrEqual,Code24Regular
CodeGreaterThan,Code24Regular
CodeNotEqual,Code24Regular
CodeJson,Code24Regular
CodeParentheses,Code24Regular
CodeGreaterThanOrEqual,Code24Regular
CodeBrackets,Code24Regular
CodeNotEqualVariant,null
CodeTagsCheck,Code24Regular
CodeParenthesesBox,CodeBlock24Regular
CodeTags,Code24Regular
CodeString,Code24Regular
CoffeeMaker,null
CoffeeMakerCheck,null
Coffee,DrinkCoffee24Regular
CoffeeMakerCheckOutline,null
CoffeeMakerOutline,null
Codepen,null
Cog,Settings24Regular
CogClockwise,ArrowClockwise24Regular
CogCounterclockwise,ArrowCounterclockwise24Regular
Coffin,null
CogBox,Settings20Regular
CoffeeOffOutline,null
CoffeeToGoOutline,DrinkCoffee24Regular
CoffeeOutline,DrinkCoffee24Regular
CoffeeToGo,DrinkCoffee24Regular
CoffeeOff,null
CogOffOutline,null
CogPauseOutline,PauseCircle24Regular
CogRefresh,ArrowSync24Regular
CogOutline,SettingsRegular
CogRefreshOutline,ArrowSync24Regular
CogPause,null
CogOff,null
CogPlay,null
CogPlayOutline,null
CogStop,null
Cogs,Settings24Regular
CogStopOutline,null
CogSyncOutline,ArrowSync24Regular
CogSync,ArrowSync24Regular
CogTransferOutline,ArrowSync24Regular
ColorHelper,Color24Regular
Collage,null
CollapseAll,GroupListRegular
CollapseAllOutline,null
CogTransfer,null
CommentAccountOutline,CommentMultiple24Regular
CommentAlertOutline,CommentNote24Regular
CommaBoxOutline,CheckboxIndeterminate24Regular
Comment,Comment24Regular
CommaCircle,null
Comma,null
CommaBox,CheckboxChecked24Regular
CommentAccount,PersonChat24Regular
CommaCircleOutline,null
CommentAlert,CommentError24Regular
CommentEdit,CommentEdit24Regular
CommentEditOutline,CommentEdit24Regular
CommentArrowRight,CommentArrowRight24Regular
CommentArrowRightOutline,CommentArrowRightRegular
CommentArrowLeftOutline,CommentArrowLeft24Regular
CommentArrowLeft,CommentArrowLeft24Regular
CommentBookmarkOutline,null
CommentBookmark,CommentAdd24Regular
CommentCheck,null
CommentCheckOutline,null
CommentOff,CommentOff24Regular
CommentOffOutline,CommentDismiss24Regular
CommentFlashOutline,CommentLightning24Regular
CommentMultiple,CommentMultiple24Regular
CommentFlash,CommentLightning24Regular
CommentMinusOutline,CommentEditRegular
CommentMultipleOutline,CommentMultipleRegular
CommentEyeOutline,CommentMultipleLink24Regular
CommentEye,CommentMultiple24Regular
CommentMinus,ChatDismiss24Regular
CommentQuoteOutline,CommentQuote24Regular
CommentOutline,Comment24Regular
CommentPlusOutline,CommentAdd24Regular
CommentProcessingOutline,CommentNote24Regular
CommentProcessing,CommentNote24Regular
CommentRemove,CommentDismiss24Regular
CommentPlus,CommentAdd24Regular
CommentQuote,CommentQuote24Regular
CommentQuestion,CommentNote24Regular
CommentQuestionOutline,null
CommentTextMultipleOutline,ChatMultiple24Regular
CommentTextOutline,CommentMultiple24Regular
CommentRemoveOutline,CommentDismiss24Regular
CommentTextMultiple,CommentMultiple24Regular
CommentText,CommentText24Regular
CompareRemove,ArrowSwap24Regular
CompareHorizontal,ArrowSwap24Regular
CommentSearch,CommentEditRegular
Compare,CaretRight24Regular
CommentSearchOutline,null
Connection,Link24Regular
CompassRose,CompassNorthwest24Regular
Cone,null
CompassOff,null
Compost,LeafOne24Regular
Compass,CompassNorthwest24Regular
CompareVertical,ArrowSwap24Regular
ConeOff,null
CompassOffOutline,null
CompassOutline,Navigation24Regular
Contacts,People24Regular
ContactsOutline,People24Regular
ConsoleNetworkOutline,null
ConsoleLine,null
ContactlessPaymentCircleOutline,TapDouble24Regular
Console,Code24Regular
ContactlessPayment,ContactCard24Regular
Consolidate,null
ConsoleNetwork,Desktop24Regular
ContactlessPaymentCircle,TapDouble24Regular
ContentSaveAlertOutline,SaveArrowRight24Regular
ContentCopy,Copy24Regular
ContentDuplicate,Copy24Regular
ContentSave,SaveRegular
ContentPaste,Clipboard24Regular
ContainEnd,ArrowAutofitHeight24Regular
Contain,null
ContentCut,CutRegular
ContentSaveAlert,null
ContainStart,null
ContentSaveAll,SaveMultiple24Regular
ContentSaveAllOutline,SaveMultiple24Regular
ContentSaveCheck,CheckmarkCircle24Regular
ContentSaveEditOutline,Edit24Regular
ContentSaveEdit,SaveEdit24Regular
ContentSaveMinus,null
ContentSaveMinusOutline,null
ContentSaveCogOutline,null
ContentSaveCog,null
ContentSaveCheckOutline,CheckmarkCircle24Regular
ContentSaveOutline,Save24Regular
ContentSaveSettings,null
ContentSaveSettingsOutline,SaveArrowRight24Regular
ContentSavePlusOutline,SaveEdit24Regular
ContentSavePlus,null
ContentSaveMoveOutline,null
ContentSaveMove,ArrowExport24Regular
ContentSaveOff,null
Contrast,BrightnessLow24Regular
ContentSaveOffOutline,SaveCopy24Regular
ControllerOff,null
CookieCheck,FoodCake24Regular
ControllerClassicOutline,null
ContrastBox,BorderNone24Regular
ContrastCircle,Circle24Regular
CookieAlert,null
ControllerClassic,XboxController24Regular
Controller,null
CookieAlertOutline,null
Cookie,null
CookieEdit,Edit24Regular
CookieCogOutline,null
CookieEditOutline,null
CookieCog,null
CookieClock,Clock24Regular
CookieClockOutline,null
CookieLock,null
CookieLockOutline,null
CookieCheckOutline,null
CookieMinus,null
CookiePlusOutline,FoodCake24Regular
CookiePlus,AddCircle24Regular
CookieOff,null
CookieRemoveOutline,null
CookieMinusOutline,null
CookieOffOutline,null
CookieOutline,FoodCake24Regular
CookieRemove,null
CookieRefresh,null
CookieRefreshOutline,null
CosineWave,null
Cordova,null
Corn,Food24Regular
CookieSettings,Settings24Regular
Counter,Counter20Regular
CornOff,null
CoolantTemperature,Temperature24Regular
Copyright,null
Copyleft,null
CookieSettingsOutline,null
Creation,AddCircle24Regular
CowOff,null
Cpu32Bit,null
Cpu64Bit,null
CradleOutline,null
CountertopOutline,null
Countertop,null
Crane,null
Cow,null
Cradle,null
CreationOutline,AddCircle24Regular
CreditCardClock,CreditCardClock24Regular
CreativeCommons,null
CreditCardClockOutline,CreditCardClock24Regular
CreditCardCheck,Payment24Regular
CreditCardChipOutline,Payment24Regular
CreditCardCheckOutline,CreditCardClock24Regular
CreditCardChip,ContactCard24Regular
CreditCardEdit,null
CreditCard,Payment24Regular
CreditCardFastOutline,Payment24Regular
CreditCardMinus,Dismiss24Regular
CreditCardMarkerOutline,null
CreditCardLockOutline,null
CreditCardMarker,null
CreditCardEditOutline,null
CreditCardFast,Payment24Regular
CreditCardLock,null
CreditCardMinusOutline,null
CreditCardMultiple,null
CreditCardPlusOutline,null
CreditCardRefundOutline,ArrowExportUpRegular
CreditCardRefund,ArrowReplyDownRegular
CreditCardMultipleOutline,null
CreditCardOff,DismissSquare24Regular
CreditCardRefresh,null
CreditCardRefreshOutline,null
CreditCardOutline,null
CreditCardOffOutline,null
CreditCardPlus,null
CreditCardSettingsOutline,null
CreditCardSearchOutline,null
CreditCardScan,ScanPerson24Regular
CreditCardSettings,null
CreditCardRemove,null
CreditCardRemoveOutline,null
CreditCardSyncOutline,null
CreditCardSearch,null
CreditCardScanOutline,null
CreditCardSync,null
Crop,Crop24Regular
Cricket,Sport24Regular
CropRotate,RotateRight24Regular
CropFree,ResizeImage24Regular
CreditCardWirelessOffOutline,null
CreditCardWireless,Payment24Regular
CreditCardWirelessOff,null
CreditCardWirelessOutline,Payment24Regular
CropPortrait,Crop24Regular
CropLandscape,DocumentLandscape24Regular
CropSquare,Crop24Regular
CrossCeltic,null
CrossBolnisi,null
CrosshairsOff,null
Crowd,PeopleCommunity24Regular
CrossOutline,Dismiss24Regular
CrosshairsGps,null
CrosshairsQuestion,CursorHoverOff24Regular
Cross,Dismiss24Regular
Crosshairs,Target24Regular
Crown,Crown24Regular
CrownCircle,PersonCircle24Regular
CrownOutline,Crown24Regular
CubeOffOutline,null
CubeOutline,Cube24Regular
Cube,Cube24Regular
Cryengine,null
CrystalBall,null
CrownCircleOutline,null
CubeOff,BoxDismiss24Regular
CupWater,DrinkCoffee24Regular
Cupboard,BoxMultiple24Regular
CubeUnfolded,BoxArrowUp24Regular
CupOff,null
CupOutline,null
CupboardOutline,null
Cup,DrinkCoffee24Regular
CubeSend,SendRegular
CupOffOutline,null
CubeScan,null
Curling,Sport24Regular
CurrencyBdt,Money24Regular
Cupcake,null
CurrencyCny,Money24Regular
CurrencyEurOff,null
CurrencyEth,null
CurrencyEur,null
CurrencyFra,null
CurrencyBtc,null
CurrencyBrl,null
CurrencyRial,CurrencyDollarEuro24Regular
CurrencyNgn,null
CurrencyKzt,null
CurrencyMnt,Money24Regular
CurrencyIls,null
CurrencyInr,null
CurrencyPhp,null
CurrencyGbp,null
CurrencyKrw,Money24Regular
CurrencyJpy,null
CurrencyUah,CurrencyDollarEuro24Regular
CurrencySign,CurrencyDollarEuro24Regular
CurrencyUsd,Money24Regular
CurrencyTry,CurrencyDollarEuro24Regular
CurrencyRub,Money24Regular
CurrencyRupee,Money24Regular
CurrentAc,Pulse24Regular
CurrencyTwd,null
CurrencyThb,null
CurrencyUsdOff,MoneyOff24Regular
CursorPointer,Cursor24Regular
CursorDefaultClickOutline,CursorClick24Regular
CursorDefaultOutline,CursorRegular
CursorDefaultGestureOutline,CursorHover24Regular
CursorDefaultClick,CursorClick24Regular
CursorDefault,Cursor24Regular
CursorText,TextCaseTitle24Regular
CurrentDc,null
CursorDefaultGesture,CursorHover24Regular
CursorMove,CursorHover24Regular
CylinderOff,null
DataMatrixMinus,BarcodeScanner24Regular
DataMatrixEdit,TableEdit24Regular
Curtains,Door24Regular
CurtainsClosed,null
DataMatrix,null
DataMatrixPlus,null
DancePole,null
Cylinder,Database24Regular
DanceBallroom,null
DatabaseArrowLeft,ArrowCircleLeft24Regular
DatabaseArrowRight,DatabaseArrowRight24Regular
Database,Database24Regular
DatabaseAlertOutline,null
DataMatrixRemove,null
DatabaseArrowDown,DatabaseArrowDownRegular
DatabaseArrowDownOutline,null
DataMatrixScan,null
DatabaseAlert,Database24Regular
DatabaseArrowLeftOutline,null
DatabaseArrowUp,ArrowUpload24Regular
DatabaseArrowRightOutline,DatabaseArrowRight24Regular
DatabaseClock,null
DatabaseEdit,ArrowCounterclockwise24Regular
DatabaseCog,null
DatabaseArrowUpOutline,ArrowUpload24Regular
DatabaseClockOutline,null
DatabaseCogOutline,null
DatabaseCheckOutline,null
DatabaseCheck,null
DatabaseEyeOff,null
DatabaseExport,ArrowExport24Regular
DatabaseEditOutline,Database24Regular
DatabaseExportOutline,ArrowExport24Regular
DatabaseEye,null
DatabaseLock,null
DatabaseEyeOffOutline,null
DatabaseImportOutline,null
DatabaseEyeOutline,DatabaseSearch24Regular
DatabaseImport,ArrowImport24Regular
DatabaseOff,null
DatabaseOffOutline,null
DatabaseOutline,Database24Regular
DatabaseMarkerOutline,DatabaseCheckmark24Regular
DatabaseLockOutline,null
DatabaseMinusOutline,null
DatabaseMinus,null
DatabasePlusOutline,null
DatabaseMarker,DatabaseArrowUpRegular
DatabasePlus,AddCircle24Regular
DatabaseSearch,DatabaseSearch24Regular
DatabaseSearchOutline,DatabaseSearch24Regular
DatabaseSync,null
DatabaseSettingsOutline,null
DatabaseRefreshOutline,ArrowRotateClockwise24Regular
DatabaseSettings,null
DatabaseSyncOutline,ArrowSync24Regular
DatabaseRemoveOutline,null
DatabaseRefresh,ArrowSync24Regular
DatabaseRemove,null
Debian,null
DeathStarVariant,null
DeathlyHallows,null
DeathStar,null
DecagramOutline,Star24Regular
Decagram,StarEmphasis24Regular
DebugStepOver,null
Decimal,TextNumberFormat24Regular
DebugStepOut,null
DebugStepInto,ArrowStepInRegular
DeleteAlertOutline,DeleteDismiss24Regular
DecimalDecrease,TextNumberFormat24Regular
Delete,Delete24Regular
DecimalIncrease,ArrowAutofitHeightRegular
DecimalCommaIncrease,NumberSymbol24Regular
DeleteCircleOutline,DismissCircle24Regular
DeleteCircle,DismissCircle24Regular
DecimalCommaDecrease,TextNumberFormat24Regular
DeleteAlert,Dismiss24Regular
DecimalComma,null
DeleteClock,DeleteDismiss24Regular
DeleteForeverOutline,Delete24Regular
DeleteEmpty,DeleteRegular
DeleteOff,DeleteOff24Regular
DeleteEmptyOutline,DeleteRegular
DeleteClockOutline,Dismiss24Regular
DeleteForever,DeleteDismiss24Regular
DeleteOutline,Delete24Regular
DeleteOffOutline,DeleteOff24Regular
DeleteRestore,ArrowCounterclockwise24Regular
DeleteSweep,DeleteDismiss24Regular
DeleteVariant,Delete24Regular
DeskLampOff,null
DeleteSweepOutline,DeleteDismiss24Regular
DeskLampOn,Lightbulb24Regular
Desk,Desktop24Regular
Deskphone,PhoneDesktop24Regular
DesktopClassic,Desktop24Regular
DeskLamp,null
Delta,MathFormula24Regular
Deviantart,null
DesktopTower,Desktop24Regular
DevTo,null
Dialpad,Dialpad24Regular
DesktopTowerMonitor,Desktop24Regular
Devices,DeviceMeetingRoom24Regular
Dharmachakra,null
Diabetes,null
DeveloperBoard,DeveloperBoard24Regular
Details,null
DiamondOutline,Diamond24Regular
Diameter,null
DiamondStone,null
DiaperOutline,null
DiameterOutline,null
Diamond,Diamond24Regular
DiameterVariant,Circle24Regular
Dice2,Board24Regular
Dice1,null
Dice1Outline,null
Dice5Outline,null
DiceD10,null
Dice3Outline,null
Dice6,GamesRegular
Dice6Outline,null
Dice4,Games24Regular
Dice4Outline,Games24Regular
Dice5,null
Dice3,null
Dice2Outline,null
DiceD12,null
DiceD6,Cube24Regular
DiceD4,null
DiceD6Outline,null
DiceD8,null
DiceD12Outline,null
DiceD4Outline,null
DiceD20,null
DiceD10Outline,PuzzlePiece24Regular
DiceD20Outline,Cube24Regular
DigitalOcean,null
DiscPlayer,Speaker224Regular
DirectionsFork,ArrowSplit24Regular
DiceMultipleOutline,null
DiceD8Outline,null
DipSwitch,null
Directions,ArrowTurnRight24Regular
DiceMultiple,Games24Regular
Disc,null
DiscAlert,Prohibited24Regular
DishwasherAlert,null
DistributeVerticalBottom,TextAlignDistributed24Regular
Dishwasher,null
Disqus,null
DistributeHorizontalLeft,null
DistributeVerticalCenter,AlignCenterVertical24Regular
DishwasherOff,null
DistributeHorizontalRight,null
DistributeHorizontalCenter,null
DistributeVerticalTop,null
Diversify,null
DivingFlippers,SwimmingPool24Regular
DivingScubaFlag,Flag24Regular
Diving,null
DivingScubaTankMultiple,null
DivingScubaTank,null
DivingHelmet,null
DivingScubaMask,null
DivingScuba,null
DivingSnorkel,null
Dns,Server24Regular
Dna,null
Dlna,null
DnsOutline,Server24Regular
DivisionBox,MathFormula24Regular
DockTop,AlignTop24Regular
DockLeft,AlignLeft24Regular
DockBottom,DockRow24Regular
Division,MathFormula24Regular
DockRight,Dock24Regular
DogService,null
Dolphin,null
DogSideOff,null
Doctor,Doctor24Regular
DogSide,AnimalDog24Regular
Dolly,Cart24Regular
DockWindow,Dock24Regular
Dolby,null
Dog,AnimalDog24Regular
Docker,null
DoorClosed,Door24Regular
Donkey,null
Domain,Organization24Regular
DomeLight,null
Door,Door24Regular
